Name,Value (thousands),Date
New Zealand,2024,1953-01-01
New Zealand,2074,1954-01-01
New Zealand,2119,1955-01-01
New Zealand,2163,1956-01-01
New Zealand,2210,1957-01-01
New Zealand,2261,1958-01-01
New Zealand,2312,1959-01-01
New Zealand,2358,1960-01-01
New Zealand,2404,1961-01-01
New Zealand,2459,1962-01-01
New Zealand,2514,1963-01-01
New Zealand,2566,1964-01-01
New Zealand,2615,1965-01-01
New Zealand,2662,1966-01-01
New Zealand,2707,1967-01-01
New Zealand,2743,1968-01-01
New Zealand,2770,1969-01-01
New Zealand,2803,1970-01-01
New Zealand,2845,1971-01-01
New Zealand,2893,1972-01-01
New Zealand,2949,1973-01-01
New Zealand,3012,1974-01-01
New Zealand,3073,1975-01-01
New Zealand,3117,1976-01-01
New Zealand,3138,1977-01-01
New Zealand,3144,1978-01-01
New Zealand,3142,1979-01-01
New Zealand,3143,1980-01-01
New Zealand,3152,1981-01-01
New Zealand,3170,1982-01-01
New Zealand,3202,1983-01-01
New Zealand,3238,1984-01-01
New Zealand,3263,1985-01-01
New Zealand,3274,1986-01-01
New Zealand,3290,1987-01-01
New Zealand,3309,1988-01-01
New Zealand,3323,1989-01-01
New Zealand,3345,1990-01-01
New Zealand,3450,1991-01-01
New Zealand,3513,1992-01-01
New Zealand,3552,1993-01-01
New Zealand,3596,1994-01-01
New Zealand,3646,1995-01-01
New Zealand,3702,1996-01-01
New Zealand,3755,1997-01-01
New Zealand,3796,1998-01-01
New Zealand,3824,1999-01-01
New Zealand,3843,2000-01-01
New Zealand,3867,2001-01-01
New Zealand,3912,2002-01-01
New Zealand,3985,2003-01-01
New Zealand,4055,2004-01-01
New Zealand,4108,2005-01-01
New Zealand,4157,2006-01-01
New Zealand,4203,2007-01-01
New Zealand,4240,2008-01-01
New Zealand,4280,2009-01-01
New Zealand,4326,2010-01-01
New Zealand,4367,2011-01-01
New Zealand,4396,2012-01-01
New Zealand,4425,2013-01-01
New Zealand,4476,2014-01-01
New Zealand,4552,2015-01-01
New Zealand,4629,2016-01-01
New Zealand,4707,2017-01-01
New Zealand,4785,2018-01-01
New Zealand,4892,2019-01-01
New Zealand,5026,2020-01-01
New Zealand,5096,2021-01-01
Fiji,306,1950-01-01
Fiji,310,1951-01-01
Fiji,315,1952-01-01
Fiji,322,1953-01-01
Fiji,330,1954-01-01
Fiji,339,1955-01-01
Fiji,349,1956-01-01
Fiji,360,1957-01-01
Fiji,371,1958-01-01
Fiji,383,1959-01-01
Fiji,396,1960-01-01
Fiji,408,1961-01-01
Fiji,421,1962-01-01
Fiji,434,1963-01-01
Fiji,448,1964-01-01
Fiji,462,1965-01-01
Fiji,476,1966-01-01
Fiji,489,1967-01-01
Fiji,500,1968-01-01
Fiji,512,1969-01-01
Fiji,522,1970-01-01
Fiji,533,1971-01-01
Fiji,543,1972-01-01
Fiji,553,1973-01-01
Fiji,562,1974-01-01
Fiji,571,1975-01-01
Fiji,581,1976-01-01
Fiji,592,1977-01-01
Fiji,606,1978-01-01
Fiji,621,1979-01-01
Fiji,637,1980-01-01
Fiji,653,1981-01-01
Fiji,669,1982-01-01
Fiji,685,1983-01-01
Fiji,702,1984-01-01
Fiji,719,1985-01-01
Fiji,736,1986-01-01
Fiji,750,1987-01-01
